English title,Original title,Director(s),Production country
The Delinquents,Los Delincuentes,Rodrigo Moreno,Argentina
How to Have Sex (CdO),How to Have Sex (CdO),Molly Manning Walker,United Kingdom
Goodbye Julia (CdO),Goodbye Julia (CdO),Mohamed Kordofani,"Sudan, Egypt, Germany, France, Sweden, Saudi Arabia"
The Buriti Flower,Crowrã,"Joao Salaviza, Renée Nader Messora",Brazil
The Nature of Love,Simple Comme Sylvain,Monia Chokri,Canada
The Mother of All Lies,Kadib Abyad,Asmae El Moudir,Morocco
The Settlers (CdO),Los Colonos,Felipe Gálvez,"Chile, Argentina"
Omen (CdO),Augure,Baloji Tshiani,"Belgium, Democratic Republic of the Congo"
The Breaking Ice,The Breaking Ice,Anthony Chen,Singapore
Rosalie,Rosalie,Stéphanie Di Giusto,France
The New Boy,The New Boy,Warwick Thornton,Australia
If Only I Could Hibernate (CdO),If Only I Could Hibernate (CdO),Zoljargal Purevdash,Mongolia
Hopeless (CdO),Hwaran (화란),Kim Chang-Hoon,South Korea
Terrestrial Verses [fa],آیه‌های زمینی,"Ali Asgari, Alireza Khatami",Iran
Rien à Perdre (CdO),Rien à Perdre (CdO),Delphine Deloget,France
Les Meutes (CdO),Les Meutes (CdO),Kamal Lazraq,Morocco
La Regne Animal (opening film),La Regne Animal (opening film),Thomas Cailley,France
