English title,Original title,Director(s),Production countrie(s)
Cobweb,Geomijib (거미집),Kim Jee-woon,South Korea
Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,James Mangold,United States
Killers of the Flower Moon,Killers of the Flower Moon,Martin Scorsese,United States
Jeanne du Barry (opening film),Jeanne du Barry (opening film),Maïwenn,France
Series,Series,Series,Series
The Idol,The Idol,Sam Levinson,United States
Midnight screenings,Midnight screenings,Midnight screenings,Midnight screenings
Omar La Fraise,Omar La Fraise,Elias Belkeddar,France
Kennedy,Kennedy,Anurag Kashyap,India
Acide,Acide,Just Philippot,France
